| Time       | Ticker | Price   | Change |
|------------|--------|---------|--------|

| 10:00:01 | FZGB | 97.40 | -1.6 |
| 10:00:02 | DWSU | 92.35 | 1.35 |
| 10:00:03 | ZAKY | 98.30 | 0.3 |
| 10:00:04 | UDXC | 90.05 | 0.05 |
| 10:00:05 | UPUU | 101.55 | 1.55 |
| 10:00:06 | VHUQ | 98.85 | -1.15 |
| 10:00:07 | JNPQ | 100.50 | 0.5 |
| 10:00:08 | UDXC | 90.05 | 0 |
| 10:00:09 | FTXN | 81.15 | 1.15 |
| 10:00:10 | FZGB | 98.40 | 1 |
| 10:00:11 | SWEK | 81.20 | 1.2 |
| 10:00:12 | PPNT | 93.80 | 1.8 |
| 10:00:13 | HJBK | 85.60 | -1.4 |
| 10:00:14 | WSWK | 84.85 | 0.85 |
| 10:00:15 | BPRS | 92.10 | 0.1 |
| 10:00:16 | VNYN | 98.45 | -1.55 |
| 10:00:17 | ONKL | 95.55 | 0.55 |
| 10:00:18 | BPRS | 92.50 | 0.4 |
| 10:00:19 | VNYN | 98.60 | 0.15 |
| 10:00:20 | FTXN | 82.30 | 1.15 |
| 10:00:21 | PKAY | 88.95 | -0.05 |
| 10:00:22 | JXLH | 89.35 | 0.35 |
| 10:00:23 | EKFK | 100.90 | 0.9 |
| 10:00:24 | ITSM | 101.70 | 1.7 |
| 10:00:25 | ELEF | 90.50 | 0.5 |
| 10:00:26 | ESUL | 89.80 | 1.8 |
| 10:00:27 | NOYU | 82.45 | -0.55 |
| 10:00:28 | PKAY | 88.60 | -0.35 |
| 10:00:29 | JNPQ | 100.00 | -0.5 |
| 10:00:30 | ITSM | 100.80 | -0.9 |
| 10:00:31 | ONKL | 95.65 | 0.1 |
| 10:00:32 | FZGB | 97.25 | -1.15 |
| 10:00:33 | EKFK | 101.60 | 0.7 |
| 10:00:34 | NOYU | 84.30 | 1.85 |
| 10:00:35 | PPNT | 95.65 | 1.85 |
| 10:00:36 | PKAY | 89.05 | 0.45 |
| 10:00:37 | FMIR | 99.10 | -0.9 |
| 10:00:38 | DFZW | 86.40 | 1.4 |
| 10:00:39 | NKZR | 90.65 | -0.35 |
| 10:00:40 | DFZW | 86.60 | 0.2 |
| 10:00:41 | DWSU | 91.75 | -0.6 |
| 10:00:42 | YVEU | 93.75 | 0.75 |
| 10:00:43 | EUHI | 87.95 | -0.05 |
| 10:00:44 | PPNT | 95.85 | 0.2 |
| 10:00:45 | EWRG | 83.90 | -1.1 |
| 10:00:46 | OKYG | 86.40 | -0.6 |
| 10:00:47 | JNPQ | 99.75 | -0.25 |
| 10:00:48 | VHUQ | 97.40 | -1.45 |
| 10:00:49 | NKZR | 88.65 | -2 |
| 10:00:50 | SMNF | 90.70 | 0.7 |
| 10:00:51 | KIRR | 94.25 | 1.25 |
| 10:00:52 | VNYN | 98.50 | -0.1 |
| 10:00:53 | SRQH | 94.10 | 1.1 |
| 10:00:54 | NOYU | 84.45 | 0.15 |
| 10:00:55 | SRQH | 93.50 | -0.6 |
| 10:00:56 | FEOW | 99.65 | 0.65 |
| 10:00:57 | VNYN | 98.95 | 0.45 |
| 10:00:58 | TXPG | 95.50 | 1.5 |
